sku,height_in_inch,age_in_year,teeth,weight_in_kg,size,feedlot_in_month
BLF3032,40,2 Years,2,226,MINIMUM,3 Months
BLF3026,40,2.5 Years,4,231,MINIMUM,3 Months
BLF3146,44.9,2 Years,2,286,MINIMUM,3 Months
BLF3185,42,2 Years,2,270,MINIMUM,3 Months
BLF2714,43.7,2.5 Years,4,337,MINIMUM,4 Months
BLF3344,42.4,2 Years,2,224,MINIMUM,3 Months
BLF2728,44,2 Years,2,325,MINIMUM,4 Months
BLF3350,38.8,2 Years,2,158,MINIMUM,3 Months
BLF2927,45.8,2 Years,2,336,MEDIUM,3 Months
BLF2933,42.1,2.5 Years,4,286,MINIMUM,3 Months
BLF2937,44,2 Years,2,296,MINIMUM,3 Months
BLF2923,49.4,2 Years,2,371,MEDIUM,4 Months
BLF3354,44.7,2 Years,2,318,MINIMUM,3 Months
BLF2738,42.4,2 Years,2,288,MINIMUM,4 Months
BLF3340,39.1,2 Years,2,214,MINIMUM,3 Months
BLF3181,43.5,2.5 Years,4,274,MINIMUM,3 Months
BLF3156,40.3,2 Years,2,227,MINIMUM,3 Months
BLF3142,43.2,2 Years,2,236,MINIMUM,3 Months
BLF3022,44.8,2 Years,2,300,MINIMUM,3 Months
BLF3036,42.6,2 Years,2,265,MINIMUM,3 Months
BLF2843,35.9,2 Years,2,199,MINIMUM,3 Months
BLF2857,40.5,2 Years,2,266,MINIMUM,3 Months
BLF3208,40.2,2 Years,2,221,MINIMUM,3 Months
BLF3220,43.7,2.5 Years,4,271,MINIMUM,3 Months
BLF2880,40.7,2 Years,2,232,MINIMUM,3 Months
BLF3234,45.6,2 Years,2,272,MEDIUM,3 Months
BLF2895,42.5,2 Years,2,231,MINIMUM,3 Months
BLF3235,43.8,2 Years,2,236,MINIMUM,3 Months
BLF3221,40.8,2 Years,2,220,MINIMUM,3 Months
BLF2881,39.2,2 Years,2,250,MINIMUM,3 Months
BLF3209,42.3,2 Years,2,260,MINIMUM,3 Months
BLF2856,41.9,2 Years,2,225,MINIMUM,3 Months
BLF2842,37,2 Years,2,199,MINIMUM,3 Months
BLF3037,41.5,2.5 Years,4,241,MINIMUM,3 Months
BLF3023,42.2,2 Years,2,259,MINIMUM,3 Months
BLF3143,39.7,2 Years,2,236,MINIMUM,3 Months
BLF3157,43.4,2 Years,2,221,MINIMUM,3 Months
BLF2739,45.3,2 Years,2,312,MEDIUM,4 Months
BLF3341,38.11,2.5 Years,4,178,MINIMUM,3 Months
BLF3355,48.2,2 Years,2,372,MEDIUM,3 Months
BLF2705,46.5,2 Years,2,375,MEDIUM,3 Months
BLF2936,46.9,2 Years,2,274,MEDIUM,3 Months
BLF2908,41.1,2 Years,2,281,MINIMUM,3 Months
BLF2934,38.8,2 Years,2,221,MINIMUM,3 Months
BLF2707,49.1,2 Years,2,342,MEDIUM,4 Months
BLF2713,43.8,2 Years,2,353,MINIMUM,4 Months
BLF3343,39.7,2 Years,2,215,MINIMUM,3 Months
BLF3182,43.3,2 Years,2,279,MINIMUM,3 Months
BLF3169,42,2 Years,2,266,MINIMUM,3 Months
BLF3155,42,2 Years,2,248,MINIMUM,3 Months
BLF3009,42,2 Years,2,226,MINIMUM,3 Months
BLF3021,44,2 Years,2,262,MINIMUM,3 Months
BLF2868,44,2 Years,2,294,MINIMUM,3 Months
BLF2854,38.1,2 Years,2,240,MINIMUM,3 Months
BLF2840,42.1,2.5 Years,4,304,MINIMUM,3 Months
BLF3237,43.1,2 Years,2,275,MINIMUM,3 Months
BLF2897,39.8,2.5 Years,4,234,MINIMUM,3 Months
BLF2883,40.5,2 Years,2,217,MINIMUM,3 Months
BLF3223,37.4,2 Years,2,204,MINIMUM,3 Months
BLF2882,42,2.5 Years,4,273,MINIMUM,3 Months
BLF3222,42.4,2 Years,2,241,MINIMUM,3 Months
BLF3236,39.6,2 Years,2,251,MINIMUM,3 Months
BLF2896,45.1,2 Years,2,277,MINIMUM,3 Months
BLF2841,42.3,2 Years,2,289,MINIMUM,3 Months
BLF2855,39,2.5 Years,4,229,MINIMUM,3 Months
BLF2869,42.5,2.5 Years,4,302,MINIMUM,3 Months
BLF3020,43.8,2 Years,2,260,MINIMUM,3 Months
BLF3034,39,2 Years,2,209,MINIMUM,3 Months
BLF3008,48,2 Years,2,333,MEDIUM,3 Months
BLF3140,43.3,2 Years,2,244,MINIMUM,3 Months
BLF3168,44.2,2.5 Years,4,328,MINIMUM,3 Months
BLF3183,42.9,2 Years,2,273,MINIMUM,3 Months
BLF3356,49,2 Years,2,360,MEDIUM,3 Months
BLF3342,41,2 Years,2,225,MINIMUM,3 Months
BLF2712,43.4,2 Years,2,330,MINIMUM,4 Months
BLF2935,40,2 Years,2,265,MINIMUM,3 Months
BLF2909,42,2 Years,2,273,MINIMUM,3 Months
BLF2946,39.8,2 Years,2,211,MINIMUM,3 Months
BLF2952,39.2,2 Years,2,203,MINIMUM,3 Months
BLF3325,41.11,2 Years,2,220,MINIMUM,3 Months
BLF2985,47.7,2 Years,2,322,MEDIUM,3 Months
BLF2991,41.1,2 Years,2,260,MINIMUM,3 Months
BLF3331,42.3,2 Years,2,253,MINIMUM,3 Months
BLF3319,41,2 Years,2,247,MINIMUM,3 Months
BLF2761,44.8,2 Years,2,270,MINIMUM,3 Months
BLF2775,40.4,2 Years,2,236,MINIMUM,3 Months
BLF3127,39.1,2 Years,2,220,MINIMUM,3 Months
BLF3133,43,2 Years,2,250,MINIMUM,3 Months
BLF3090,43,2 Years,2,283,MINIMUM,3 Months
BLF3084,42,2 Years,2,286,MINIMUM,3 Months
BLF3053,42.6,2 Years,2,260,MINIMUM,3 Months
BLF3047,42.3,2 Years,2,269,MINIMUM,3 Months
BLF3292,40,2 Years,2,229,MINIMUM,3 Months
BLF2832,38.2,2.5 Years,4,236,MINIMUM,3 Months
BLF2826,40.7,2 Years,2,244,MINIMUM,3 Months
BLF3286,41,2 Years,2,224,MINIMUM,3 Months
BLF3251,40.1,2 Years,2,255,MINIMUM,3 Months
BLF3245,43.3,2.5 Years,4,235,MINIMUM,3 Months
BLF3279,42.2,2 Years,2,283,MINIMUM,3 Months
BLF3244,41.6,2.5 Years,4,236,MINIMUM,3 Months
BLF3250,42.3,2 Years,2,264,MINIMUM,3 Months
BLF2827,42.3,2.5 Years,4,267,MINIMUM,3 Months
BLF3287,41.5,2 Years,2,215,MINIMUM,3 Months
BLF3293,39.4,2 Years,2,221,MINIMUM,3 Months
BLF2833,41.4,2 Years,2,309,MINIMUM,3 Months
BLF3046,40.7,2 Years,2,273,MINIMUM,3 Months
BLF3085,41.7,2 Years,2,288,MINIMUM,3 Months
BLF3091,45.6,2 Years,2,304,MEDIUM,3 Months
BLF3132,41.1,2 Years,2,240,MINIMUM,3 Months
BLF3126,40.7,2 Years,2,229,MINIMUM,3 Months
BLF2774,42,2 Years,2,316,MINIMUM,3 Months
BLF3318,44.4,2 Years,2,244,MINIMUM,3 Months
BLF2760,46.5,2.5 Years,4,337,MEDIUM,3 Months
BLF3330,39.9,2 Years,2,185,MINIMUM,3 Months
BLF3324,42.11,2 Years,2,220,MINIMUM,3 Months
BLF2984,43,2 Years,2,321,MINIMUM,3 Months
BLF2953,42.9,2.5 Years,4,241,MINIMUM,3 Months
BLF2947,42.1,2 Years,2,294,MINIMUM,3 Months
BLF2789,42.8,2 Years,2,267,MINIMUM,3 Months
BLF2951,44.7,2 Years,2,237,MINIMUM,3 Months
BLF2945,40,2.5 Years,2,197,MINIMUM,3 Months
BLF3332,40.6,2 Years,2,218,MINIMUM,3 Months
BLF2992,43.6,2 Years,2,280,MINIMUM,3 Months
BLF3326,41.6,2 Years,2,231,MINIMUM,3 Months
BLF2776,42,2 Years,2,270,MINIMUM,3 Months
BLF2762,42.5,2 Years,2,296,MINIMUM,3 Months
BLF3130,39.9,2 Years,2,210,MINIMUM,3 Months
BLF3124,42.3,2 Years,2,239,MINIMUM,3 Months
BLF3118,45.7,2.5 Years,4,359,MEDIUM,3 Months
BLF3087,38.8,2 Years,2,214,MINIMUM,3 Months
BLF3093,39,2 Years,2,210,MINIMUM,3 Months
BLF3044,42.4,2 Years,2,265,MINIMUM,3 Months
BLF3050,46.4,2 Years,2,306,MEDIUM,3 Months
BLF3078,39.8,2 Years,2,235,MINIMUM,3 Months
BLF3285,39.1,2 Years,2,203,MINIMUM,3 Months
BLF2825,42.9,2.5 Years,4,285,MINIMUM,3 Months
BLF2831,46,2.5 Years,4,320,MEDIUM,3 Months
BLF3291,41,2.5 Years,4,228,MINIMUM,3 Months
BLF2819,42.6,2.5 Years,4,285,MINIMUM,3 Months
BLF3246,41.4,2 Years,2,233,MINIMUM,3 Months
BLF3252,43,2 Years,2,271,MINIMUM,3 Months
BLF3253,41,2 Years,2,218,MINIMUM,3 Months
BLF3247,40.5,2 Years,2,212,MINIMUM,3 Months
BLF2818,44.4,2 Years,2,273,MINIMUM,3 Months
BLF2830,42,2 Years,2,353,MINIMUM,3 Months
BLF3290,40,2 Years,2,201,MINIMUM,3 Months
BLF2824,39.7,2 Years,2,235,MINIMUM,3 Months
BLF3079,37.4,2 Years,2,225,MINIMUM,3 Months
BLF3051,42.6,2 Years,2,236,MINIMUM,3 Months
BLF3045,41,2 Years,2,257,MINIMUM,3 Months
BLF3092,42.6,2 Years,2,280,MINIMUM,3 Months
BLF3086,44.6,2 Years,2,303,MINIMUM,3 Months
BLF3119,43.3,2 Years,2,227,MINIMUM,3 Months
BLF3125,41.8,2 Years,2,215,MINIMUM,3 Months
BLF3131,44.4,2 Years,2,266,MINIMUM,3 Months
BLF2763,44,2.5 Years,4,280,MINIMUM,3 Months
BLF2777,41.3,2 Years,2,261,MINIMUM,3 Months
BLF2987,38,2.5 Years,4,211,MINIMUM,3 Months
BLF3327,42,2 Years,2,234,MINIMUM,3 Months
BLF3333,40.11,2 Years,2,220,MINIMUM,3 Months
BLF2993,44,2.5 Years,4,298,MINIMUM,3 Months
BLF2978,41.1,2 Years,2,254,MINIMUM,3 Months
BLF2944,41,2 Years,2,236,MINIMUM,3 Months
BLF2950,39.9,2 Years,2,231,MINIMUM,3 Months
BLF2788,43,2 Years,2,269,MINIMUM,3 Months
BLF2968,43.1,2 Years,2,262,MINIMUM,3 Months
BLF2954,43.4,2 Years,2,273,MINIMUM,3 Months
BLF2798,42.8,2 Years,2,270,MINIMUM,3 Months
BLF2940,42.4,2 Years,2,273,MINIMUM,3 Months
BLF2773,43,2.5 Years,4,280,MINIMUM,3 Months
BLF2767,44.9,2.5 Years,4,327,MINIMUM,3 Months
BLF2997,45.2,2 Years,2,280,MEDIUM,3 Months
BLF3337,39.4,2 Years,2,255,MINIMUM,3 Months
BLF3109,41,2 Years,2,231,MINIMUM,3 Months
BLF3135,44.3,2.5 Years,4,239,MINIMUM,3 Months
BLF3121,41.2,2 Years,2,217,MINIMUM,3 Months
BLF3082,46,2 Years,2,336,MEDIUM,3 Months
BLF3096,45.6,2 Years,2,304,MEDIUM,3 Months
BLF3069,42,2 Years,2,225,MINIMUM,3 Months
BLF3041,47.8,2 Years,2,360,MEDIUM,3 Months
BLF3055,40,2 Years,2,257,MINIMUM,3 Months
BLF2808,40.5,2.5 Years,4,257,MINIMUM,3 Months
BLF2820,40.5,2.5 Years,4,236,MINIMUM,3 Months
BLF3294,42,2 Years,2,293,MINIMUM,3 Months
BLF2834,46,2 Years,2,367,MEDIUM,3 Months
BLF3243,41,2 Years,2,210,MINIMUM,3 Months
BLF3257,42.7,2 Years,2,275,MINIMUM,3 Months
BLF3256,43.9,2.5 Years,4,312,MINIMUM,3 Months
BLF3242,42,2 Years,2,217,MINIMUM,3 Months
BLF3295,40.2,2 Years,2,219,MINIMUM,3 Years
BLF2835,42.5,2 Years,2,355,MEDIUM,3 Months
BLF2821,42.4,2 Years,2,265,MINIMUM,3 Months
BLF3281,44,2 Years,2,288,MINIMUM,3 Months
BLF2809,41.1,2 Years,2,265,MINIMUM,3 Months
BLF3054,40.4,2 Years,2,232,MINIMUM,3 Months
BLF3040,40.5,2.5 Years,4,255,MINIMUM,3 Months
BLF3068,37.8,2 Years,2,213,MINIMUM,3 Months
BLF3097,42.2,2 Years,2,267,MINIMUM,3 Months
BLF3083,45.1,2 Years,3,293,MEDIUM,3 Months
BLF3120,39.3,2 Years,2,210,MINIMUM,3 Months
BLF3134,43.7,2.5 Years,4,236,MINIMUM,3 Months
BLF3108,42,2 Years,2,221,MINIMUM,3 Months
BLF3322,42,2 Years,2,215,MINIMUM,3 Months
BLF2996,43.2,2 Years,2,221,MINIMUM,3 Months
BLF3336,42.1,2 Years,2,223,MINIMUM,3 Months
BLF2766,42.8,2 Years,2,296,MINIMUM,3 Months
BLF2772,40.4,2 Years,2,252,MINIMUM,3 Months
BLF2941,41,2 Years,2,201,MINIMUM,3 Months
BLF2799,43,2 Years,2,255,MINIMUM,3 Months
BLF2955,42.8,2 Years,2,286,MINIMUM,3 Months
BLF2969,43.1,2 Years,2,274,MINIMUM,3 Months
BLF2943,42,2.5 Years,4,231,MINIMUM,3 Months
BLF2957,43,2 Years,2,259,MINIMUM,3 Months
BLF2764,41,2 Years,2,306,MINIMUM,3 Months
BLF3308,40.11,2 Years,2,201,MINIMUM,3 Months
BLF2770,36.6,2.5 Years,4,231,MINIMUM,3 Months
BLF2980,39.6,2 Years,2,197,MINIMUM,3 Months
BLF2758,42.4,2 Years,2,336,MINIMUM,3 Months
BLF3320,42.2,2 Years,2,233,MINIMUM,3 Months
BLF3334,42.8,2 Years,2,242,MINIMUM,3 Months
BLF2994,48,2 Years,2,330,MEDIUM,3 Months
BLF3122,40,2.5 Years,4,178,MINIMUM,3 Months
BLF3136,38,2 Years,2,195,MINIMUM,3 Months
BLF3095,41.6,2 Years,2,277,MINIMUM,3 Months
BLF3081,45.7,2 Years,2,315,MEDIUM,3 Months
BLF3056,42.1,2 Years,2,229,MINIMUM,3 Months
BLF3042,42,2 Years,2,234,MINIMUM,3 Months
BLF2837,42.3,2 Years,2,265,MINIMUM,3 Months
BLF3297,41,2 Years,2,249,MINIMUM,3 Months
BLF3283,41,2 Years,2,238,MINIMUM,3 Months
BLF2823,40.2,2 Years,2,267,MINIMUM,3 Months
BLF3268,40.2,2 Years,2,215,MINIMUM,3 Months
BLF3254,42.1,2 Years,2,246,MINIMUM,3 Months
BLF3240,39,2 Years,2,295,MINIMUM,3 Months
BLF3241,42.4,2 Years,2,222,MINIMUM,3 Months
BLF3255,39.8,2 Years,2,225,MINIMUM,3 Months
BLF3269,41.7,2 Years,2,246,MINIMUM,3 Months
BLF3282,44,2 Years,2,262,MINIMUM,3 Months
BLF2822,42.2,2 Years,2,276,MINIMUM,3 Months
BLF2836,44.9,2 Years,2,351,MINIMUM,3 Months
BLF3296,39.7,2.5 Years,4,196,MINIMUM,3 Months
BLF3043,42,2 Years,2,246,MINIMUM,3 Months
BLF3057,41.1,2 Years,2,242,MINIMUM,3 Months
BLF3080,42.1,2.5 Years,4,257,MINIMUM,3 Months
BLF3137,42.1,2.5 Years,4,286,MINIMUM,3 Months
BLF3335,42.9,2 Years,2,235,MINIMUM,3 Months
BLF2995,41,2 Years,2,273,MINIMUM,3 Months
BLF2759,39.5,2 Years,2,244,MINIMUM,3 Months
BLF2981,44.4,2 Years,2,338,MINIMUM,3 Months
BLF3321,41.6,2 Years,2,206,MINIMUM,3 Months
BLF3309,40.8,2 Years,2,206,MINIMUM,3 Months
BLF2771,35.3,2 Years,2,189,MINIMUM,3 Months
BLF2765,43.9,2 Years,2,298,MINIMUM,3 Months
BLF2956,42,2.5 Years,4,287,MINIMUM,3 Months
BLF2942,44.5,2 Years,2,310,MINIMUM,3 Months
BLF3489,41.4,2 Years,2,251,MINIMUM,12 Months
BLF3462,43,2 Years,2,290,MINIMUM,12 Months
BLF3476,42.2,2 Years,2,239,MINIMUM,12 Months
BLF3660,42.4,2 Years,2,292,MINIMUM,12 Months
BLF3674,41.11,2 Years,2,240,MINIMUM,12 Months
BLF3714,41.3,2 Years,2,218,MINIMUM,12 Months
BLF3700,40,2.5 Years,2,225,MINIMUM,12 Months
BLF3728,41,2 Years,2,229,MINIMUM,12 Months
BLF3516,39,2.5 Years,4,213,MINIMUM,12 Months
BLF3502,41.6,2 Years,2,217,MINIMUM,12 Months
BLF3503,39,2 Years,2,227,MINIMUM,12 Months
BLF3517,40.9,2 Years,2,249,MINIMUM,12 Months
BLF3729,44,2 Years,2,241,MINIMUM,12 Months
BLF3715,42.3,2 Years,2,254,MINIMUM,12 Months
BLF3649,43.8,2 Years,2,237,MINIMUM,12 Months
BLF3675,44.3,2 Years,2,257,MINIMUM,12 Months
BLF3661,44.11,2.5 Years,4,273,MINIMUM,12 Months
BLF3477,42.5,2 Years,2,224,MINIMUM,12 Months
BLF3463,42.11,2 Years,2,287,MINIMUM,12 Months
BLF3488,43,2 Years,2,238,MINIMUM,12 Months
BLF3475,44,2 Years,2,250,MINIMUM,12 Months
BLF3461,39,2 Years,2,260,MINIMUM,12 Months
BLF3688,43.2,2 Years,2,238,MINIMUM,12 Months
BLF3677,40.9,2 Years,2,250,MINIMUM,12 Months
BLF3663,40.11,2 Years,2,218,MINIMUM,12 Months
BLF3703,43.4,2 Years,2,285,MINIMUM,12 Months
BLF3501,38.4,2 Years,2,234,MINIMUM,12 Months
BLF3515,39.4,2 Years,2,204,MINIMUM,12 Months
BLF3529,43.7,2 Years,2,251,MINIMUM,12 Months
BLF3528,45,2 Years,2,223,MINIMUM,12 Months
BLF3514,42.8,2 Years,2,219,MINIMUM,12 Months
BLF3500,41,2 Years,2,239,MINIMUM,12 Months
BLF3716,46,2 Years,2,274,MEDIUM,12 Months
BLF3702,40.6,2.5 Years,4,237,MINIMUM,12 Months
BLF3662,43.11,2 Years,2,269,MINIMUM,12 Months
BLF3676,42.3,2.5 Years,4,234,MINIMUM,12 Months
BLF3689,43.11,2.5 Years,4,245,MINIMUM,12 Months
BLF3460,42,2 Years,2,273,MINIMUM,12 Months
BLF3474,41.11,2 Years,2,245,MINIMUM,12 Months
BLF3458,41,2 Years,2,232,MINIMUM,12 Months
BLF3470,44,2 Years,2,308,MINIMUM,12 Months
BLF3464,43,2 Years,2,249,MINIMUM,12 Months
BLF3699,41.2,2 Years,2,231,MINIMUM,12 Months
BLF3672,42,2.5 Years,4,263,MINIMUM,12 Months
BLF3666,42.8,2.5 Years,4,261,MINIMUM,12 Months
BLF3706,45.6,2 Years,2,293,MEDIUM,12 Months
BLF3712,40.11,2 Years,2,225,MINIMUM,12 Months
BLF3538,43.4,2.5 Years,4,273,MINIMUM,12 Months
BLF3504,41,2.5 Years,4,263,MINIMUM,12 Months
BLF3510,40.9,2.5 Years,4,263,MINIMUM,12 Months
BLF3511,41.5,2 Years,2,258,MINIMUM,12 Months
BLF3505,38,2 Years,2,183,MINIMUM,12 Months
BLF3539,42.11,2 Years,2,275,MINIMUM,12 Months
BLF3713,39.11,2 Years,2,225,MINIMUM,12 Months
BLF3667,43,2.5 Years,4,239,MINIMUM,12 Months
BLF3673,41.5,2 Years,2,222,MINIMUM,12 Months
BLF3698,40.11,2 Years,2,225,MINIMUM,12 Months
BLF3465,41.11,2.5 Years,4,247,MINIMUM,12 Months
BLF3471,42.4,2.5 Years,4,241,MINIMUM,12 Months
BLF3459,42.11,2.5 Years,4,275,MINIMUM,12 Months
BLF3498,39.6,2 Years,2,201,MINIMUM,12 Months
BLF3467,40.6,3 Years,6,249,MINIMUM,12 Months
BLF3473,39.11,2 Years,2,257,MINIMUM,12 Months
BLF3659,43.7,2.5 Years,4,267,MINIMUM,12 Months
BLF3665,45,2 Years,2,274,MEDIUM,12 Months
BLF3671,42.9,2.5 Years,4,253,MINIMUM,12 Months
BLF3739,42,2 Years,2,236,MINIMUM,12 Months
BLF3711,43,2 Years,2,225,MINIMUM,12 Months
BLF3513,43.8,2.5 Years,4,310,MINIMUM,12 Months
BLF3507,44,2 Years,2,291,MINIMUM,12 Months
BLF3506,40,2 Years,2,211,MINIMUM,12 Months
BLF3512,43.11,2 Years,2,265,MINIMUM,12 Months
BLF3704,45,2 Years,2,305,MINIMUM,12 Months
BLF3710,41.4,2 Years,2,223,MINIMUM,12 Months
BLF3738,42,2 Years,2,220,MINIMUM,12 Months
BLF3670,42.3,2 Years,2,237,MINIMUM,12 Months
BLF3664,42.11,2 Years,2,235,MINIMUM,12 Months
BLF3658,44,2 Years,2,285,MINIMUM,12 Months
BLF3472,41.6,2 Years,2,269,MINIMUM,12 Months
BLF3466,41.2,2 Years,2,264,MINIMUM,12 Months
BLF3499,42.11,2 Years,2,249,MINIMUM,12 Months
BLF3401,42,3 Years,6,352,MINIMUM,12 Months
BLF3415,41.4,2.5 Years,6,352,MINIMUM,12 Months
BLF3429,41.11,2.5 Years,4,362,MINIMUM,12 Months
BLF3603,44.11,2 Years,2,295,MINIMUM,12 Months
BLF3617,44.11,2.5 Years,4,294,MINIMUM,12 Months
BLF3763,38.11,2.5 Years,4,185,MINIMUM,12 Months
BLF3575,43.11,2 Years,2,288,MINIMUM,12 Months
BLF3549,41.8,2 Years,2,241,MINIMUM,12 Months
BLF3548,41.2,2.5 Years,4,246,MINIMUM,12 Months
BLF3574,43.7,2 Years,2,260,MINIMUM,12 Months
BLF3762,39,2 Years,2,176,MINIMUM,12 Months
BLF3616,42.1,2 Years,2,237,MINIMUM,12 Months
BLF3602,45.11,2 Years,2,336,MEDIUM,12 Months
BLF3428,41,3 Years,6,351,MINIMUM,12 Months
BLF3614,41,2.5 Years,4,222,MINIMUM,12 Months
BLF3600,46.11,3 Years,4,313,MEDIUM,12 Months
BLF3628,42.2,2 Years,2,234,MINIMUM,12 Months
BLF3760,42.8,2 Years,2,195,MINIMUM,12 Months
BLF3748,41,2 Years,2,196,MINIMUM,12 Months
BLF3589,45.3,2 Years,2,298,MEDIUM,12 Months
BLF3576,45.12,2.5 Years,4,357,LARGE,12 Months
BLF3577,45.4,2 Years,2,344,MEDIUM,12 Months
BLF3588,42,2 Years,2,253,MINIMUM,12 Months
BLF3749,37.7,2.5 Years,4,201,MINIMUM,12 Months
BLF3775,41,2.5 Years,4,320,MINIMUM,12 Months
BLF3761,39.9,2 Years,2,218,MINIMUM,12 Months
BLF3629,43,2 Years,2,296,MINIMUM,12 Months
BLF3601,43.3,2 Years,2,260,MINIMUM,12 Months
BLF3615,43.3,2 Years,2,290,MINIMUM,12 Months
BLF3639,43.11,2 Years,2,286,MINIMUM,12 Months
BLF3611,41.11,2 Years,2,236,MINIMUM,12 Months
BLF3605,43,2 Years,2,283,MINIMUM,12 Months
BLF3759,42.11,2 Years,2,200,MINIMUM,12 Months
BLF3765,39,2.5 Years,4,186,MINIMUM,12 Months
BLF3771,41.6,2 Years,2,235,MINIMUM,12 Months
BLF3598,41.11,2 Years,2,196,MINIMUM,12 Months
BLF3573,42,2 Years,2,246,MINIMUM,12 Months
BLF3572,43.11,2 Years,2,260,MINIMUM,12 Months
BLF3599,43,2 Years,2,231,MINIMUM,12 Months
BLF3770,44.6,2.5 Years,4,240,MINIMUM,12 Months
BLF3764,39.4,2 Years,2,205,MINIMUM,12 Months
BLF3758,41,2 Years,2,214,MINIMUM,12 Months
BLF3604,44.2,2 Years,2,283,MINIMUM,12 Months
BLF3610,44,2 Years,2,316,MINIMUM,12 Months
BLF3638,43.11,2.5 Years,4,253,MINIMUM,12 Months
BLF3606,47,2 Years,2,328,MEDIUM,12 Months
BLF3612,43.3,3 Years,4,226,MINIMUM,12 Months
BLF3772,41,2 Years,2,214,MINIMUM,12 Months
